input,proxyIP,portRemote,success,colo,responseTime,message,timestamp,error,raw
160.16.123.65_1:443,,,,,,,,,
45.77.9.114:443,,,,,,,,,
45.76.111.190:443,,,,,,,,,
64.176.36.17:443,,,,,,,,,
47.79.42.197_1:443,,,,,,,,,
8.211.60.34:443,,,,,,,,,
8.211.16.138:443,,,,,,,,,
43.224.34.60_1:443,,,,,,,,,
18.205.113.91:443,,,,,,,,,
8.209.4.13:443,,,,,,,,,
8.209.4.205:443,,,,,,,,,
47.79.41.201:443,,,,,,,,,
13.250.131.37_1:443,,,,,,,,,
143.198.92.220_1:443,-1,-1,False,LAX,-1,Stream was cancelled.,2025-10-27T06:44:44.252Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'LAX', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.252Z'}"
213.35.107.73_1:443,,,,,,,,,
43.156.116.194_1:443,,,,,,,,,
8.219.155.21:443,,,,,,,,,
167.99.73.22:443,,,,,,,,,
164.52.2.98_1:443,-1,-1,False,IAD,-1,Stream was cancelled.,2025-10-27T06:44:44.294Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.294Z'}"
164.52.2.99_1:443,,,,,,,,,
104.248.145.216_1:443,,,,,,,,,
128.199.134.152:443,,,,,,,,,
168.138.165.174_1:443,-1,-1,False,MIA,-1,Stream was cancelled.,2025-10-27T06:44:44.289Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'MIA', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.289Z'}"
150.109.11.223:443,,,,,,,,,
140.245.48.42:443,,,,,,,,,
164.52.2.100_1:443,,,,,,,,,
178.128.80.43_1:443,-1,-1,False,LAX,-1,Stream was cancelled.,2025-10-27T06:44:44.300Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'LAX', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.300Z'}"
15.235.192.85:443,,,,,,,,,
104.43.91.69:443,,,,,,,,,
178.128.86.3:443,,,,,,,,,
209.97.173.243:443,,,,,,,,,
140.245.97.193:443,,,,,,,,,
143.42.66.91_1:443,,,,,,,,,
43.156.181.203_1:443,,,,,,,,,
15.235.162.19:443,,,,,,,,,
3.0.50.69:443,,,,,,,,,
47.245.85.72:443,47.245.85.72,443,True,IAD,479,第1次验证有效ProxyIP,2025-10-27T06:44:45.469Z,,"{'success': True, 'proxyIP': '47.245.85.72', 'portRemote': 443, 'colo': 'IAD', 'responseTime': 479, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:45.469Z'}"
8.222.218.155:443,,,,,,,,,
139.180.159.133:443,,,,,,,,,
13.250.31.132:443,,,,,,,,,
20.205.177.152:443,,,,,,,,,
20.247.137.183:443,,,,,,,,,
157.20.104.30:443,,,,,,,,,
38.180.249.123_1:443,,,,,,,,,
194.156.163.45:443,,,,,,,,,
47.236.29.162:443,,,,,,,,,
103.229.96.157:443,,,,,,,,,
111.119.215.93:443,,,,,,,,,
43.252.21.100:443,,,,,,,,,
38.244.147.68_1:443,,,,,,,,,
168.138.189.91:443,-1,-1,False,IAD,-1,Cannot call releaseLock() on a reader with outstanding read promises.,2025-10-27T06:44:49.361Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'IAD', 'responseTime': -1, 'message': 'Cannot call releaseLock() on a reader with outstanding read promises.', 'timestamp': '2025-10-27T06:44:49.361Z'}"
103.195.191.55:443,,,,,,,,,
129.226.150.167:443,,,,,,,,,
128.199.172.224_1:443,,,,,,,,,
104.248.159.99:443,,,,,,,,,
124.156.202.172:443,,,,,,,,,
128.199.125.131_1:443,,,,,,,,,
165.154.203.69:443,,,,,,,,,
43.134.164.53:443,,,,,,,,,
128.199.216.53:443,,,,,,,,,
139.99.124.165:443,,,,,,,,,
139.59.104.29:443,,,,,,,,,
139.177.185.196_1:443,,,,,,,,,
139.180.154.158:443,,,,,,,,,
167.88.172.224:443,,,,,,,,,
47.236.71.6_1:443,,,,,,,,,
188.166.249.31_1:443,,,,,,,,,
192.46.231.158_1:443,,,,,,,,,
64.235.61.166:443,,,,,,,,,
140.245.53.45:443,,,,,,,,,
47.236.21.74:443,,,,,,,,,
68.183.227.216:443,,,,,,,,,
68.183.235.240_1:443,,,,,,,,,
68.183.227.180_1:443,,,,,,,,,
68.183.235.165_1:443,-1,-1,False,MIA,-1,Stream was cancelled.,2025-10-27T06:44:44.367Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'MIA', 'responseTime': -1, 'message': 'Stream was cancelled.', 'timestamp': '2025-10-27T06:44:44.367Z'}"
8.219.54.136:443,,,,,,,,,
92.112.22.94_1:443,,,,,,,,,
39.108.184.201:443,,,,,,,,,
34.143.159.175:443,,,,,,,,,
158.178.229.178:443,,,,,,,,,
64.235.43.144:443,,,,,,,,,
64.235.45.169:443,,,,,,,,,
138.2.64.229:443,,,,,,,,,
5.223.47.32:443,5.223.47.32,443,True,IAD,489,第1次验证有效ProxyIP,2025-10-27T06:44:45.314Z,,"{'success': True, 'proxyIP': '5.223.47.32', 'portRemote': 443, 'colo': 'IAD', 'responseTime': 489, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:45.314Z'}"
139.177.185.88_1:443,,,,,,,,,
123.111.169.70:443,,,,,,,,,
130.162.130.105:443,130.162.130.105,443,True,LAX,291,第1次验证有效ProxyIP,2025-10-27T06:44:44.895Z,,"{'success': True, 'proxyIP': '130.162.130.105', 'portRemote': 443, 'colo': 'LAX', 'responseTime': 291, 'message': '第1次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:44.895Z'}"
144.24.73.232:443,,,,,,,,,
131.186.17.132:443,,,,,,,,,
158.180.72.60:443,,,,,,,,,
52.141.25.42_1:443,,,,,,,,,
158.247.216.165:443,,,,,,,,,
193.123.230.250:443,,,,,,,,,
132.226.224.4:443,,,,,,,,,
193.122.115.67:443,,,,,,,,,
158.180.73.165:443,,,,,,,,,
221.139.87.28:443,,,,,,,,,
193.122.107.234:443,,,,,,,,,
141.164.35.158:443,,,,,,,,,
141.164.48.141:443,,,,,,,,,
129.154.194.191:443,,,,,,,,,
193.122.114.82:443,,,,,,,,,
144.24.90.107:443,,,,,,,,,
146.56.46.84:443,,,,,,,,,
131.186.22.50:443,,,,,,,,,
146.56.141.197:443,,,,,,,,,
64.110.75.145:443,,,,,,,,,
47.76.218.163:443,47.76.218.163,443,True,LAX,1647,第2次验证有效ProxyIP,2025-10-27T06:44:47.067Z,,"{'success': True, 'proxyIP': '47.76.218.163', 'portRemote': 443, 'colo': 'LAX', 'responseTime': 1647, 'message': '第2次验证有效ProxyIP', 'timestamp': '2025-10-27T06:44:47.067Z'}"
199.59.231.120:443,,,,,,,,,
38.207.132.101:443,,,,,,,,,
167.179.27.92:443,,,,,,,,,
172.105.199.168:443,172.105.199.168,443,False,LAX,-1,无法通过ProxyIP访问Cloudflare,2025-10-27T06:44:44.597Z,,"{'success': False, 'proxyIP': '172.105.199.168', 'portRemote': 443, 'colo': 'LAX', 'responseTime': -1, 'message': '无法通过ProxyIP访问Cloudflare', 'timestamp': '2025-10-27T06:44:44.597Z'}"
172.105.208.156:443,,,,,,,,,
181.214.136.252:443,,,,,,,,,
13.230.34.30:443,,,,,,,,,
141.147.169.152:443,,,,,,,,,
152.70.97.53:443,,,,,,,,,
91.194.160.151:443,,,,,,,,,
43.133.26.158:443,,,,,,,,,
45.66.129.201:443,,,,,,,,,
176.119.150.38:443,,,,,,,,,
8.219.1.169:443,,,,,,,,,
185.114.78.230:443,,,,,,,,,
152.42.178.179:443,,,,,,,,,
5.223.41.132:443,,,,,,,,,
141.11.43.124:443,,,,,,,,,
147.75.225.105:443,,,,,,,,,
146.56.162.25:443,-1,-1,False,MIA,-1,Cannot call releaseLock() on a reader with outstanding read promises.,2025-10-27T06:44:49.418Z,,"{'success': False, 'proxyIP': -1, 'portRemote': -1, 'colo': 'MIA', 'responseTime': -1, 'message': 'Cannot call releaseLock() on a reader with outstanding read promises.', 'timestamp': '2025-10-27T06:44:49.418Z'}"
